headline,date,description
€250 million paid in taxes by foreign workers in 2021,"Tuesday, 14 February 2023, 17:41","€250 million have been paid in taxes by foreigners for the year of 2021, France Minister Clyde Caruana said on Tuesday. Caruana was answering a parliamentary question by PN MP Ryan..."
"January numbers higher than pre-Covid years for the first time, MIA says","Tuesday, 14 February 2023, 15:51","Following several months of registering strong recovery rates, Malta International Airport’s traffic surpassed 2019 passenger numbers for the first time since February 2020 last January, MIA..."
European Parliament bans sales of petrol and diesel cars from 2035,"Tuesday, 14 February 2023, 14:55","The European Parliament on Tuesday approved the new CO2 emissions reduction targets for new passenger cars and light commercial vehicles, part of the “Fit for 55” package. With 340..."
MEA says that there is a demarcation between majority and minority unions,"Tuesday, 14 February 2023, 10:05","The Malta Employers’ Association stated that there is a clear demarcation line between the rights of a recognised union which represents the majority of employees in a workplace, and those of a..."
BOV financing a more climate neutral business model,"Monday, 13 February 2023, 10:38","""Bank of Valletta, as a central player in the Maltese economy, is actively finding ways to decarbonise its business model. Besides paying close attention to its own operations, the bank is extending..."
AX Group strengthens its leadership team with two important appointments,"Monday, 13 February 2023, 10:33","AX Group is pleased to announce two strategic appointments to its leadership team, with Albert Bonello taking on the role of managing director of Finance and Administration and Nicky Camilleri being..."
Session on addressing weaknesses in cybersecurity to protect businesses and consumers,"Monday, 13 February 2023, 10:31",The Malta Business Bureau (MBB) held an informative webinar discussing the details of the EU Cyber Resilience Act (CRA) and the new requirements for businesses. The European Commission's CRA proposal...
Atlas Insurance installs two defibrillators outside its Ta’ Xbiex offices,"Monday, 13 February 2023, 10:29","Atlas Insurance has installed two automated external defibrillators (AEDs) at its Ta' Xbiex office in Abate Rigord Street, as well as at its Head Office on the seafront. The two AEDs were installed on..."
MSE successfully holds its first Governance Risk and Compliance Summit,"Monday, 13 February 2023, 10:27","The Malta Stock Exchange (MSE) successfully organised its first annual Governance, Risk and Compliance (GRC) Summit on 2 February. The summit addressed significant developments within the financial..."
Is Malta ready for an energy conversion to Green Hydrogen?,"Monday, 13 February 2023, 10:25","Now that we are seeing the end of the pandemic tunnel, economies are facing new obstacles to growth as the Russian war has distorted commerce in Europe and racked up consumer prices. This is..."
,,Atlas Insurance and SOS Malta launch VR…
,,MDB hosts 20 European institutions to…
,,BOV encourages smarter money management…
,,Maltese Payroll Software Company Buddy…
,,HSBC Malta Foundation supports K-9…
,,New shores beckon for Boston Multi…
,,Trump economics: Inflation trends and…
,,Fundación MAPFRE supports P.O.P – Up'…
How to Safeguard Your Investment Portfolio from Inflation & Global Economic Uncertainty,"Thursday, 9 February 2023, 13:41","The Russia-Ukraine conflict has disrupted supply chains globally, and fractured relationships between nations. This has led to record high inflation even in the most viable economies. The EU has..."
BOV Financing a more climate neutral business model,"Tuesday, 7 February 2023, 10:44","""Bank of Valletta, as a central player in the Maltese economy, is actively finding ways to decarbonise its business model.  Besides paying close attention to its own operations, the bank is..."
AX Group strengthens its leadership team with two important appointments,"Tuesday, 7 February 2023, 10:17","AX Group is pleased to announce two strategic appointments to its leadership team, with Mr Albert Bonello taking on the role of Managing Director of Finance and Administration and Mr Nicky Camilleri..."
Rente – New Direct Property rental App launched!,"Friday, 3 February 2023, 15:30","The first Direct Property rental App is now available to download via Google Play and APP Store. With years of experience in the rental industry, we have managed to create something..."
BOV and Housing Authority offer ‘New Hope’ to homeowners,"Thursday, 2 February 2023, 12:47",Bank of Valletta and the Housing Authority signed an agreement that gives BOV clients the opportunity to benefit from the authority's 'New Hope Guarantee Scheme'. This agreement makes it easier for...
London ice breaker,"Thursday, 2 February 2023, 11:06","Malta's attractiveness as a location for international gaming companies will next month be promoted at the leading iGaming expo in London by a highly experienced team from Melita Business, who will..."
Fifth edition of Atlas Football Festival held at Melita FC Football Ground,"Thursday, 2 February 2023, 09:29",The fifth edition of the Atlas Under-11 Football Festival was held at the Melita FC Football Ground and Sports Complex in Pembroke on the 28 January. Around sixty young footballers took part in a...
Reuben M Buttigieg appointed Country Co-Ordinator for INSOL Europe,"Wednesday, 1 February 2023, 11:29","Reuben M Buttigieg has been appointed as Malta's Country Co-Ordinator for INSOL Europe, the leading organisation of professionals specialising in insolvency and business reconstruction and..."
HandsOn Systems in the limelight at Agro Belgrade,"Wednesday, 1 February 2023, 10:22","Late last month, HandsOn Systems, in collaboration with their Serbia office, took part in Agro Belgrade 2023, an international exhibition bringing together the most important companies in the field of..."
Melita invests over €150 million in its infrastructure to satiate demand to be constantly connected,"Tuesday, 31 January 2023, 14:56",Melita Limited has invested over €150 million in its network and technology infrastructure during these recent years to cater for the continuous increase in demand for connectivity and to satisfy...
,,Atlas Insurance and SOS Malta launch VR…
,,MDB hosts 20 European institutions to…
,,BOV encourages smarter money management…
,,Maltese Payroll Software Company Buddy…
,,HSBC Malta Foundation supports K-9…
,,New shores beckon for Boston Multi…
,,Trump economics: Inflation trends and…
,,Fundación MAPFRE supports P.O.P – Up'…
The balancing act: inflation vs growth,"Sunday, 29 January 2023, 09:00",2022 marked a year where financial markets were challenged by an aggressive and synchronised monetary policy tightening. Russia's invasion in Ukraine fuelled geopolitical tensions and higher energy...
‘I am a firm believer in leading by example as it benefits the entire local industry’ - Douglas Salt,"Sunday, 29 January 2023, 09:00","Overall industry vision “We have a strong drive to not only retain our position as the market leaders in Malta, but also to expand even further without the risk of compromising on the..."
Former Farsons fermentation vats transformed into new co-working space,"Thursday, 26 January 2023, 14:22","The Vats, a 'creative ecosystem' Fermentation chambers which for decades brewed beers, have been transformed into a new co-working space as part of the restoration of the iconic Farsons..."
Joinwell and FXB  announce signing of merger agreement,"Wednesday, 25 January 2023, 15:06","Joinwell and FXB, two of the most well-established and longest standing furniture companies in Malta, have entered into a memorandum of understanding to merge their companies. The two companies..."
Emirates to hold cabin crew recruitment event in Malta on 11 February,"Tuesday, 24 January 2023, 13:00","Emirates, the world's largest international airline, is once again looking for additional talent to join its multinational cabin crew team. Emirates is holding a cabin crew recruitment event on..."
Finestral wins Best Apertures Award at Top Build Awards 2023,"Tuesday, 24 January 2023, 12:58",Finestral won the Best Apertures category at the Top Build Awards 2023 organized by Bøye Designs. The awards ceremony took place last Saturday 21st January at the Radisson Blu Resort & Spa...
XB Net unlocks premium horse racing content for Izibet in Malta,"Tuesday, 24 January 2023, 10:09","XB Net, the leading provider of premium horse racing content across the Americas, has further broadened its international footprint with the announcement of its latest digital distribution rights deal..."
